# Simulation 2 (Up to date)
# 813 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (77.6 ft/s)
#
# Time (s),Altitude (ft)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0
0.01,0.0032599
0.02,0.022781
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.078071
0.04,0.18867
0.05,0.37414
0.06,0.65156
0.07,1.0281
0.077699,1.3853
0.084239,1.7342
0.090042,2.0786
0.095321,2.42
0.1002,2.7595
0.10476,3.0975
# Event LAUNCHROD occurred at t=0.10907 seconds
0.10907,3.4343
0.11553,3.9723
0.12521,4.8524
0.13974,6.3348
0.16152,8.9165
0.19421,13.574
0.24323,22.261
0.29323,33.132
0.34323,45.935
0.39323,60.584
0.44323,76.999
0.47174,87.124
0.4974,96.698
0.52455,107.3
0.56528,124.08
0.61528,146.1
0.64659,160.65
0.6722,172.99
0.70048,187.05
0.74291,208.99
0.79291,236.07
0.81769,249.98
0.85085,269.06
0.90058,298.66
0.9343,319.38
0.97636,345.9
1.0264,378.36
1.0764,411.76
1.1264,446.01
1.1764,481.03
1.2264,516.72
1.2764,553.01
1.3264,589.82
1.3764,627.05
1.4264,664.65
1.4764,702.54
1.5264,740.65
1.5764,778.92
1.6264,817.27
1.6764,855.64
1.7264,893.96
1.7764,932.16
1.8264,970.17
1.8764,1007.9
1.9264,1045.4
1.9764,1082.5
2.0264,1119.3
2.0764,1155.5
2.1264,1191.4
2.1764,1226.7
2.2264,1261.5
2.2764,1295.9
2.3264,1329.7
2.3764,1363
2.4264,1395.8
2.4764,1428.1
2.5264,1459.8
2.5764,1491.1
2.6264,1521.8
2.6764,1552
2.7264,1581.7
# Event BURNOUT occurred at t=2.7764 seconds
2.7764,1610.9
2.8264,1639.5
2.8764,1667.5
2.9264,1695
2.9764,1722
3.0264,1748.4
3.0764,1774.4
3.1264,1799.9
3.1764,1825
3.2264,1849.6
3.2764,1873.8
3.3264,1897.6
3.3764,1921
3.4264,1944
3.4764,1966.7
3.5264,1988.9
3.5764,2010.8
3.6264,2032.4
3.6764,2053.6
3.7264,2074.6
3.7764,2095.1
3.8264,2115.4
3.8764,2135.4
3.9264,2155.1
3.9764,2174.5
4.0264,2193.6
4.0764,2212.4
4.1264,2231
4.1764,2249.3
4.2264,2267.3
4.2764,2285.1
4.3264,2302.6
4.3764,2319.9
4.4264,2337
4.4764,2353.8
4.5264,2370.4
4.5764,2386.7
4.6264,2402.9
4.6764,2418.8
4.7264,2434.5
4.7764,2450
4.8264,2465.3
4.8764,2480.4
4.9264,2495.3
4.9764,2510
5.0264,2524.5
5.0764,2538.8
5.1264,2552.9
5.1764,2566.9
5.2264,2580.6
5.2764,2594.2
5.3264,2607.6
5.3764,2620.9
5.4264,2633.9
5.4764,2646.8
5.5264,2659.6
5.5764,2672.1
5.6264,2684.5
5.6764,2696.8
5.7264,2708.9
5.7764,2720.8
5.8264,2732.6
5.8764,2744.2
5.9264,2755.7
5.9764,2767
6.0264,2778.2
6.0764,2789.3
6.1264,2800.2
6.1764,2810.9
6.2264,2821.6
6.2764,2832
6.3264,2842.4
6.3764,2852.6
6.4264,2862.7
6.4764,2872.6
6.5264,2882.5
6.5764,2892.1
6.6264,2901.7
6.6764,2911.1
6.7264,2920.5
6.7764,2929.6
6.8264,2938.7
6.8764,2947.7
6.9264,2956.5
6.9764,2965.2
7.0264,2973.8
7.0764,2982.2
7.1264,2990.6
7.1764,2998.8
7.2264,3007
7.2764,3015
7.3264,3022.9
7.3764,3030.6
7.4264,3038.3
7.4764,3045.9
7.5264,3053.3
7.5764,3060.7
7.6264,3067.9
7.6764,3075.1
7.7264,3082.1
7.7764,3089
7.8264,3095.8
7.8764,3102.6
7.9264,3109.2
7.9764,3115.7
8.0264,3122.1
8.0764,3128.4
8.1264,3134.6
8.1764,3140.7
8.2264,3146.7
8.2764,3152.7
8.3264,3158.5
8.3764,3164.2
8.4264,3169.8
8.4764,3175.3
8.5264,3180.8
8.5764,3186.1
8.6264,3191.4
8.6764,3196.5
8.7264,3201.6
8.7764,3206.5
8.8264,3211.4
8.8764,3216.2
8.9264,3220.9
8.9764,3225.5
9.0264,3230
9.0764,3234.4
9.1264,3238.7
9.1764,3242.9
9.2264,3247.1
9.2764,3251.2
9.3264,3255.1
